Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   ,   ,   ,   ,   ,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   ,   ,   ,   ,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   , 
P*, P , P , P , P , P , P , P , P , P , P , P , P , P*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , Y*, Ym, Ya, Yn, Ya, Yg, Ye, Yr, Y , Yw, Ya, Yn, Yt, Y , Yt, Yo, Y , Yw, Yr, Yi, Yt, Ye, Y , Y , Y , Y , Y , Y , Y , Y*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
P*, P , P , P , P , P , P , P , P , P , P , P , P , P*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , Y*, Yg, Yo, Yd, Yd, Ya, Ym, Yn, Y , Yl, Yo, Yg, Yi, Yn, Y , Yp, Ya, Yg, Ye, Y , Yh, Yi, Ym, Ys, Ye, Yl, Yf, Y., Y , Y*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
P*, P , P , P , P , P , P , P , P , P , P , P , P , P*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , Y*, YC, Yo, Yd, Ye, Y , YM, Yo, Yn, Yk, Ye, Yy, Y , Yn, Yo, Yt, Y , Ys, Ya, Yy, Y , Yi, Yt, Y , Yo, Yu, Yt, Y , Y , Y*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  j,  u,  s,  t,   ,  p,  r,  o,  u,  d,  .,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
C*, C*, C*, C*, C*, C*, C*, C*,   , G*, G*, G*, G*, G*, G*, G*, G*,   ,   ,   , M*, M*, M*, M*, M*, M*, M*,   ,   ,   , L*, L*, L*, L*, L*, L*, L*, L*, L*,   , C*, C*, C*, C*, C*, C*, C*, C*, C*,   , G*, G*, G*, G*, G*, G*, G*, G*, G*,   , R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, 
C*, Ca, C , Cb, C , Cc, C , C*,   , G*, Ga, G , Gb, G , Gc, G , G*,   ,   ,   , M*, Ma, M , Mb, M , M , M*,   ,   ,   , L*, La, L , Lb, L , Lc, L , L , L*,   , C*, Ca, C , Cb, C , Cc, C , C , C*,   , G*, Ga, G , Gb, G , Gc, G , G , G*,   , R*, RH, Re, Ry, R , Ry, Ra, Rl, R!, R , R , R , R , R , R , R , R , R , R , 
C*, Cd, C , Ce, C , Cf, C , C*,   , G*, Gd, G , Ge, G , Gf, G , G*,   ,   ,   , M*, Mc, M , Md, M , M , M*,   ,   ,   , L*, Ld, L , Le, L , Lf, L , L , L*,   , C*, Cd, C , Ce, C , Cf, C , C , C*,   , G*, G*, G*, G*, G*, G*, G*, G*, G*,   , R*, R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , 
C*, Cg, C , Ch, C , Ci, C , C*,   , G*, Gg, G , Gh, G , Gi, G , G*,   ,   ,   , M*, Me, M , Mf, M , M , M*,   ,   ,   , L*, Lg, L , Lh, L , Li, L , L , L*,   , C*, Cg, C , Ch, C , Ci, C , C , C*,   ,   ,  g,   ,  h,   ,  i,   ,   ,   ,   , R*, R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , 
C*, Cj, C , Ck, C , Cl, C , C*,   , G*, Gj, G , Gk, G , Gl, G , G*,   ,   ,   , M*, Mg, M , Mh, M , M , M*,   ,   ,   , L*, Lj, L , Lk, L , Ll, L , L , L*,   , C*, Cj, C , Ck, C , Cl, C , C , C*,   ,   ,  j,   ,  k,   ,  l,   ,   ,   ,   , R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, 
C*, Cm, C , Cn, C , Co, C , C*,   , G*, Gm, G , Gn, G , Go, G , G*,   ,   ,   , M*, Mi, M , Mj, M , M , M*,   ,   ,   , L*, Lm, L , Ln, L , Lo, L , L , L*,   , C*, Cm, C , Cn, C , Co, C , C , C*,   ,   ,  m,   ,  n,   ,  o,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
C*, Cp, C , Cq, C , Cr, C , C*,   , G*, Gp, G , Gq, G , Gr, G , G*,   ,   ,   , M*, Mk, M , Ml, M , M , M*,   ,   ,   , L*, Lp, L , Lq, L , Lr, L , L , L*,   , C*, Cp, C , Cq, C , Cr, C , C , C*,   ,   ,  p,   ,  q,   ,  r,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
C*, C*, C*, C*, C*, C*, C*, C*,   , G*, G*, G*, G*, G*, G*, G*, G*,   ,   ,   , M*, M*, M*, M*, M*, M*, M*,   ,   ,   , L*, L*, L*, L*, L*, L*, L*, L*, L*,   , C*, C*, C*, C*, C*, C*, C*, C*, C*,   ,   ,  s,   ,  t,   ,  u,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
